geometry,borough,tax_block,tax_lot,census_tract_2010,cb2010,council_district,postcode,policeprct,healtharea,address,zonedist1,zonedist2,zonedist3,zonedist4,ltdheight,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,resarea,garagearea,strgearea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,borocode,bbl,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,appbbl,appdate,plutomapid,dcpedited,notes,bct2020,bctcb2020,yearbuilt_dt,yearalter1_dt,yearalter2_dt
POINT (-73.9662288 40.7079539),BK,2156,21,547.0,1001.0,34.0,11249.0,90.0,500.0,448 BERRY STREET,R6,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"1,675",0,,,,,7.0,0,,0,0,22.33,75.0,0.0,0.0,0.0,False,5.0,137700.0,137700.0,0.0,0,0,,,0.0,2.43,3,3021560021,547.0,993613.0,197205.0,40.7079539,-73.9662288,12d,,,,1,,,3054700.0,30547001001.0,,,
POINT (-73.9647067 40.7078849),BK,2157,19,547.0,1002.0,34.0,11249.0,90.0,500.0,100 SOUTH 10 STREET,R6,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"1,498",0,,,,,7.0,0,,0,0,22,71.5,0.0,0.0,0.0,True,5.0,49950.0,49950.0,0.0,0,0,,,0.0,2.43,3,3021570019,547.0,994035.0,197180.0,40.7078849,-73.9647067,12d,,,,1,,,3054700.0,30547001002.0,,,
POINT (-73.9663908 40.7084371),BK,2145,28,547.0,1000.0,34.0,11249.0,90.0,500.0,SOUTH 10 STREET,R6,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"1,500",0,,,,,7.0,0,,0,0,18.75,80.0,0.0,0.0,0.0,False,5.0,123300.0,123300.0,0.0,0,0,,,0.0,2.43,3,3021450028,547.0,993568.0,197381.0,40.7084371,-73.9663908,12d,,,,1,,,3054700.0,30547001000.0,,,
POINT (-73.9664594 40.7084453),BK,2145,29,547.0,1000.0,34.0,11249.0,90.0,500.0,63 SOUTH 10 STREET,R6,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"1,507",0,,,,,7.0,0,,0,0,18.83,80.0,0.0,0.0,0.0,False,5.0,124200.0,124200.0,0.0,0,0,,,0.0,2.43,3,3021450029,547.0,993549.0,197384.0,40.7084453,-73.9664594,12d,,,,1,,,3054700.0,30547001000.0,,,
POINT (-73.9665243 40.7084508),BK,2145,30,547.0,1000.0,34.0,11249.0,90.0,500.0,SOUTH 10 STREET,R6,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"1,500",0,,,,,7.0,1,,0,0,18.75,80.0,0.0,0.0,0.0,False,5.0,123300.0,123300.0,0.0,0,0,,,0.0,2.43,3,3021450030,547.0,993531.0,197386.0,40.7084508,-73.9665243,12d,,,,1,,,3054700.0,30547001000.0,,,
POINT (-73.966683 40.7084975),BK,2145,32,547.0,1000.0,34.0,11249.0,90.0,500.0,SOUTH 10 STREET,R6,,,,,G7,10.0,0.0,O,NYC HOUSING AUTHORITY,"2,500",0,,,,,7.0,0,,0,0,25,100.0,0.0,0.0,0.0,False,5.0,301050.0,301050.0,0.0,0,0,,,0.0,2.43,3,3021450032,547.0,993487.0,197403.0,40.7084975,-73.966683,12d,,,,1,,,3054700.0,30547001000.0,,,
POINT (-73.9667623 40.7085058),BK,2145,33,547.0,1000.0,34.0,11249.0,90.0,500.0,55 SOUTH 10 STREET,R6,,,,,G7,10.0,0.0,O,NYC HOUSING AUTHORITY,"1,950",0,,,,,7.0,0,,0,0,19.5,100.0,0.0,0.0,0.0,False,5.0,227700.0,227700.0,0.0,0,0,,,0.0,2.43,3,3021450033,547.0,993465.0,197406.0,40.7085058,-73.9667623,12d,,,,1,,,3054700.0,30547001000.0,,,
POINT (-73.9668344 40.708514),BK,2145,34,547.0,1000.0,34.0,11249.0,90.0,500.0,53 SOUTH 10 STREET,R6,,,,,G7,10.0,0.0,O,NYC HOUSING AUTHORITY,"2,000",0,,,,,7.0,0,,0,0,20,100.0,0.0,0.0,0.0,False,5.0,235800.0,235800.0,0.0,0,0,,,0.0,2.43,3,3021450034,547.0,993445.0,197409.0,40.708514,-73.9668344,12d,,,,1,,,3054700.0,30547001000.0,,,
POINT (-73.9669066 40.7085223),BK,2145,35,547.0,1000.0,34.0,11249.0,90.0,500.0,51 SOUTH 10 STREET,R6,,,,,G7,10.0,0.0,O,NYC HOUSING AUTHORITY,"1,983",0,,,,,7.0,0,,0,0,19.83,100.0,0.0,0.0,0.0,False,5.0,231300.0,231300.0,0.0,0,0,,,0.0,2.43,3,3021450035,547.0,993425.0,197412.0,40.7085223,-73.9669066,12d,,,,1,,,3054700.0,30547001000.0,,,
POINT (-73.9662396 40.7078936),BK,2156,22,547.0,1001.0,34.0,11249.0,90.0,500.0,450 BERRY STREET,R6,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"1,503",0,,,,,7.0,0,,0,0,19.67,76.42,0.0,0.0,0.0,False,5.0,124200.0,124200.0,0.0,0,0,,,0.0,2.43,3,3021560022,547.0,993610.0,197183.0,40.7078936,-73.9662396,12d,,,,1,,,3054700.0,30547001001.0,,,
POINT (-73.9658682 40.7076711),BK,2157,1,547.0,1002.0,34.0,11249.0,90.0,500.0,BERRY STREET,R6,,,,,V0,11.0,0.0,O,NYC HOUSING AUTHORITY,"1,025",0,,,,,7.0,0,,0,0,31.25,49.0,0.0,0.0,0.0,True,5.0,16500.0,16500.0,0.0,0,0,,,0.0,2.43,3,3021570001,547.0,993713.0,197102.0,40.7076711,-73.9658682,12d,,,,1,,,3054700.0,30547001002.0,,,
POINT (-73.9657924 40.7077589),BK,2157,3,547.0,1002.0,34.0,11249.0,90.0,500.0,451 BERRY STREET,R6,,,,,V0,11.0,0.0,O,NYC HOUSING AUTHORITY,"1,080",0,,,,,7.0,0,,0,0,15,72.0,0.0,0.0,0.0,False,5.0,18420.0,18420.0,0.0,0,0,,,0.0,2.43,3,3021570003,547.0,993734.0,197134.0,40.7077589,-73.9657924,12d,,,,1,,,3054700.0,30547001002.0,,,
POINT (-73.9657852 40.7078001),BK,2157,4,547.0,1002.0,34.0,11249.0,90.0,500.0,449 BERRY STREET,R6,,,,,V0,11.0,0.0,O,NYC HOUSING AUTHORITY,"1,110",0,,,,,7.0,0,,0,0,15.42,72.0,0.0,0.0,0.0,False,5.0,18900.0,18900.0,0.0,0,0,,,0.0,2.43,3,3021570004,547.0,993736.0,197149.0,40.7078001,-73.9657852,12d,,,,1,,,3054700.0,30547001002.0,,,
POINT (-73.9658176 40.707855),BK,2157,5,547.0,1002.0,34.0,11249.0,90.0,500.0,447 BERRY STREET,R6,,,,,V0,11.0,0.0,O,NYC HOUSING AUTHORITY,"1,008",0,,,,,7.0,0,,0,0,21,48.0,0.0,0.0,0.0,False,5.0,16980.0,16980.0,0.0,0,0,,,0.0,2.43,3,3021570005,547.0,993727.0,197169.0,40.707855,-73.9658176,12d,,,,1,,,3054700.0,30547001002.0,,,
POINT (-73.9645624 40.7078683),BK,2157,21,547.0,1002.0,34.0,11249.0,90.0,500.0,464 BEDFORD AVENUE,R6,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"1,264",0,,,,,7.0,0,,0,0,22.17,57.0,0.0,0.0,0.0,False,5.0,41994.0,41994.0,0.0,0,0,,,0.0,2.43,3,3021570021,547.0,994075.0,197174.0,40.7078683,-73.9645624,12d,,,,1,,,3054700.0,30547001002.0,,,
POINT (-73.9645769 40.7078107),BK,2157,22,547.0,1002.0,34.0,11249.0,90.0,500.0,466 BEDFORD AVENUE,R6,,,,,Q2,9.0,0.0,O,NYC HOUSING AUTHORITY,"1,264",0,,,,,7.0,0,,0,0,22.17,57.0,0.0,0.0,0.0,False,5.0,41994.0,41994.0,0.0,0,0,,,0.0,2.43,3,3021570022,547.0,994071.0,197153.0,40.7078107,-73.9645769,12d,,,,1,,,3054700.0,30547001002.0,,,
POINT (-73.9763884 40.7206894),MN,356,1,20.0,3003.0,2.0,10009.0,9.0,7600.0,10 AVENUE D,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"693,945","1,658,649","1,658,649",0,0,0,2.0,18,14.0,"1,861","1,861",960.92,613.42,170.83,85.83,0.0,True,3.0,26999100.0,103814100.0,1950.0,0,0,,,2.39,3.44,1,1003560001,20.0,990795.0,201844.0,40.7206894,-73.9763884,12c,,,,1,,,1002000.0,10020003002.0,1950-01-01,,
POINT (-73.9369106 40.797102),MN,1688,45,188.0,2000.0,8.0,10029.0,25.0,2100.0,307 EAST 117 STREET,R7B,R9A,,,,D7,4.0,0.0,O,NYC HOUSING AUTHORITY,"32,819","368,904","339,904",0,0,"29,000",2.0,1,16.0,171,172,140.17,201.84,42.0,183.0,3.0,True,3.0,585000.0,13453650.0,1973.0,"2,010",0,,,11.24,3.0,1,1016880045,188.0,1001718.0,229689.0,40.797102,-73.9369106,6b,,,,1,,,1018800.0,10188002000.0,1973-01-01,2010-01-01,
POINT (-73.8925066 40.6728195),BK,3724,27,1152.0,2004.0,42.0,11207.0,75.0,6100.0,260 BRADFORD STREET,R5B,,,,,G7,10.0,0.0,O,NYC HOUSING AUTHORITY,"2,500",0,,,,,7.0,0,,0,0,25,100.0,0.0,0.0,0.0,False,5.0,119700.0,119700.0,0.0,0,0,,,0.0,1.5,3,3037240027,1152.0,1014068.0,184421.0,40.6728195,-73.8925066,17c,,,,1,,,3115200.0,31152002004.0,,,
POINT (-73.8926475 40.6726193),BK,3724,29,1152.0,2004.0,42.0,11207.0,75.0,6100.0,2173 PITKIN AVENUE,R7A,,,,,C1,2.0,0.0,O,NYC HOUSING AUTHORITY,"20,000","35,180","35,180",0,0,0,2.0,2,4.0,30,30,200,100.0,103.0,49.0,0.0,False,3.0,90000.0,1154250.0,1970.0,0,0,,,1.76,4.0,3,3037240029,1152.0,1014029.0,184348.0,40.6726193,-73.8926475,17c,,,,1,,,3115200.0,31152002004.0,1970-01-01,,
POINT (-73.917134 40.6858995),BK,1492,1,373.0,1003.0,41.0,11233.0,73.0,3100.0,33 SARATOGA AVENUE,R6,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"58,845","128,113","111,200",0,0,"16,688",2.0,1,16.0,125,125,200,389,146.67,54.5,0.0,True,3.0,211500.0,6298650.0,1966.0,"2,011",0,,,2.18,2.43,3,3014920001,373.0,1007232.0,189179.0,40.6858995,-73.917134,17a,,,,1,,,3037300.0,30373001001.0,1966-01-01,2011-01-01,
POINT (-73.9076886 40.8775901),BX,5702,1,289.0,1004.0,14.0,10463.0,50.0,200.0,210 WEST 230 STREET,PARK,R6,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"36,500","120,000","120,000",0,0,0,2.0,2,14.0,154,154,571.33,132,100,45.0,0.0,True,5.0,405000.0,3944700.0,1951.0,"2,001",0,,,3.29,0.0,2,2057020001,289.0,1009778.0,259021.0,40.8775901,-73.9076886,1d,,,,1,,,2028900.0,20289001004.0,1951-01-01,2001-01-01,
POINT (-73.9586584 40.6897866),BK,1938,1,233.0,2000.0,36.0,11205.0,79.0,1300.0,345 CLASSON AVENUE,R7-1,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"313,570","827,000","827,000",0,0,0,2.0,7,20.0,882,882,440,765.17,180.0,55.0,0.0,True,5.0,4938750.0,25866900.0,1965.0,0,0,,,2.64,3.44,3,3019380001,233.0,995715.0,190587.0,40.6897866,-73.9586584,16c,,,,1,,,3023300.0,30233002000.0,1965-01-01,,
POINT (-73.9079968 40.8769536),MN,2215,623,309.0,1000.0,10.0,10463.0,50.0,110.0,5365 BROADWAY,R6,PARK,,,,D3,3.0,0.0,M,NYC HOUSING AUTHORITY,"167,800","222,600","222,600",0,0,0,2.0,2,14.0,307,307,491.42,388,194.0,75.0,1.0,True,1.0,2659500.0,11274750.0,1950.0,0,0,,,1.33,2.43,1,1022150623,309.0,1009693.0,258789.0,40.8769536,-73.9079968,1d,,,,1,,,1030900.0,10309002000.0,1950-01-01,,
POINT (-73.9078261 40.8748675),MN,2215,116,309.0,1003.0,10.0,10463.0,50.0,110.0,5210 BROADWAY,R6,,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"398,875","633,000","633,000",0,0,0,2.0,7,15.0,770,770,963.67,694.17,193.0,76.58,1.0,True,5.0,4815900.0,28692450.0,1951.0,0,0,,,1.59,2.43,1,1022150116,309.0,1009741.0,258029.0,40.8748675,-73.9078261,1d,,,,1,,,1030900.0,10309003000.0,1951-01-01,,
POINT (-73.9400578 40.7875273),MN,1696,1,162.0,4000.0,8.0,10029.0,23.0,2600.0,1980 1 AVENUE,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"467,225","810,774","810,774",0,0,0,2.0,11,11.0,"1,170","1,170",725.5,708,87.0,85.0,1.0,True,3.0,9450900.0,34304850.0,1940.0,0,0,,,1.74,3.44,1,1016960001,162.0,1000849.0,226200.0,40.7875273,-73.9400578,6b,,,,1,,,1016200.0,10162004001.0,1940-01-01,,
POINT (-73.9439524 40.7898101),MN,1654,11,170.0,2001.0,8.0,10029.0,23.0,2600.0,217 EAST 104 STREET,R7A,R9A,,,,D7,4.0,0.0,O,NYC HOUSING AUTHORITY,"35,322","180,319","151,119",0,0,0,2.0,2,3.0,248,254,350,100.92,77.0,86.0,3.0,False,3.0,796500.0,10705500.0,1963.0,"1,998",0,,,5.11,4.0,1,1016540011,170.0,999770.0,227031.0,40.7898101,-73.9439524,6b,,,,1,,,1017000.0,10170002001.0,1963-01-01,1998-01-01,
POINT (-73.980762 40.6791729),BK,943,69,131.0,1001.0,39.0,11217.0,78.0,4200.0,367 DOUGLASS STREET,R6B,,,,,C0,2.0,0.0,O,NYC HOUSING AUTHORITY,"2,000","2,700","2,700",0,0,0,2.0,1,3.0,3,3,20,100,20,45.0,3.0,False,5.0,28140.0,167280.0,1910.0,0,0,,,1.35,2.0,3,3009430069,131.0,989586.0,186718.0,40.6791729,-73.980762,16c,,,,1,,,3013100.0,30131001001.0,1910-01-01,,
POINT (-73.9396882 40.7051626),BK,3081,50,493.0,4002.0,34.0,11206.0,90.0,800.0,330 BUSHWICK AVENUE,R6,,,,,D3,3.0,1.0,O,NYC HOUSING AUTHORITY,"15,640","64,680","64,680",0,0,0,2.0,1,7.0,65,65,230,68.33,49.33,200.0,0.0,False,5.0,94050.0,2508300.0,1972.0,0,0,,,4.14,2.43,3,3030810050,493.0,1000972.0,196192.0,40.7051626,-73.9396882,13b,,,,1,,,3049302.0,30493023002.0,1972-01-01,,
POINT (-73.9398319 40.7058187),BK,3081,40,493.0,4002.0,34.0,11206.0,90.0,800.0,300 BUSHWICK AVENUE,R6,,,,,D3,3.0,1.0,O,NYC HOUSING AUTHORITY,"19,484","69,065","69,065",0,0,0,2.0,1,7.0,65,65,15,68.33,49.33,200.0,1.0,True,5.0,376200.0,2654550.0,1972.0,0,0,,,3.54,2.43,3,3030810040,493.0,1000932.0,196431.0,40.7058187,-73.9398319,13b,,,,1,,,3049302.0,30493023002.0,1972-01-01,,
POINT (-73.9408461 40.7050507),BK,3081,80,493.0,4002.0,34.0,11206.0,90.0,800.0,110 HUMBOLDT STREET,R6,,,,,D3,3.0,1.0,O,NYC HOUSING AUTHORITY,"20,723","62,275","62,275",0,0,0,2.0,1,7.0,51,51,230,90.83,49.33,180.0,0.0,False,5.0,124200.0,2351250.0,1972.0,0,0,,,3.01,2.43,3,3030810080,493.0,1000651.0,196151.0,40.7050507,-73.9408461,13b,,,,1,,,3049302.0,30493023002.0,1972-01-01,,
POINT (-73.9402688 40.705248),BK,3081,70,493.0,4002.0,34.0,11206.0,90.0,800.0,175R SEIGEL STREET,R6,,,,,D3,3.0,1.0,O,NYC HOUSING AUTHORITY,"31,330","69,065","69,065",0,0,0,2.0,1,7.0,65,65,240.75,130,49.33,200.0,0.0,False,5.0,173700.0,2565000.0,1972.0,0,0,,,2.2,2.43,3,3030810070,493.0,1000811.0,196223.0,40.705248,-73.9402688,13b,,,,1,,,3049302.0,30493023002.0,1972-01-01,,
POINT (-73.9408527 40.7057369),BK,3081,1,493.0,4002.0,34.0,11206.0,90.0,800.0,130 HUMBOLDT STREET,R6,,,,,D3,3.0,1.0,O,NYC HOUSING AUTHORITY,"31,100","56,028","56,028",0,0,0,2.0,1,7.0,65,65,173,230,49.33,180.33,0.0,True,3.0,467550.0,2315250.0,1972.0,0,0,,,1.8,2.43,3,3030810001,493.0,1000649.0,196401.0,40.7057369,-73.9408527,13b,,,,1,,,3049302.0,30493023002.0,1972-01-01,,
POINT (-73.9402186 40.7049324),BK,3081,60,493.0,4002.0,34.0,11206.0,90.0,800.0,155 SEIGEL STREET,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"24,100","69,065","69,065",0,0,0,2.0,1,7.0,65,65,99.92,240.75,49.33,200.0,0.0,False,5.0,150750.0,2649150.0,1972.0,0,0,,,2.87,2.43,3,3030810060,493.0,1000825.0,196108.0,40.7049324,-73.9402186,13b,,,,1,,,3049302.0,30493023002.0,1972-01-01,,
POINT (-73.9416174 40.7056577),BK,3080,20,493.0,5002.0,34.0,11206.0,90.0,800.0,125 HUMBOLDT STREET,R6,,,,,P5,8.0,0.0,O,NYC HOUSING AUTHORITY,"33,000","12,125",0,0,0,"12,125",2.0,1,1.0,0,0,164.17,200,97,135.0,1.0,False,5.0,279000.0,1667250.0,1972.0,0,0,,,0.37,2.43,3,3030800020,493.0,1000437.0,196372.0,40.7056577,-73.9416174,13b,,,,1,,,3049302.0,30493024002.0,1972-01-01,,
POINT (-73.9420287 40.705485),BK,3080,10,493.0,5002.0,34.0,11206.0,90.0,800.0,160 BOERUM STREET,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"45,000","242,940","242,940",0,0,0,2.0,1,7.0,248,248,300,460,49.33,199.58,1.0,True,5.0,834750.0,11395800.0,1972.0,0,0,,,5.4,2.43,3,3030800010,493.0,1000323.0,196309.0,40.705485,-73.9420287,13b,,,,1,,,3049302.0,30493024002.0,1972-01-01,,
POINT (-73.9505432 40.6874915),BK,1803,11,251.0,2001.0,36.0,11216.0,79.0,2000.0,278 LEXINGTON AVENUE,R6A,,,,,B9,1.0,0.0,O,NYC HOUSING AUTHORITY,"2,075","2,418","2,418",0,0,0,2.0,1,4.0,2,2,20.75,100,20.67,39.0,2.0,False,5.0,13740.0,112440.0,1980.0,0,0,,,1.17,3.0,3,3018030011,251.0,997966.0,189752.0,40.6874915,-73.9505432,17a,,,,1,,,3025100.0,30251002001.0,1980-01-01,,
POINT (-73.93845 40.7180734),BK,2867,1,449.0,2001.0,34.0,11211.0,94.0,900.0,60 KINGSLAND AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"510,960","611,340","611,340",0,0,0,2.0,11,8.0,700,700,493.08,786.33,45.0,147.0,0.0,True,5.0,2416500.0,27557100.0,1950.0,0,0,,,1.2,2.43,3,3028670001,449.0,1001312.0,200896.0,40.7180734,-73.93845,13a,,,,1,,,3044901.0,30449011001.0,1950-01-01,,
POINT (-73.9403239 40.8169536),MN,2007,45,230.0,2001.0,9.0,10030.0,32.0,1000.0,116 WEST 139 STREET,R7-2,,,,,C4,2.0,0.0,O,NYC HOUSING AUTHORITY,"2,598","9,850","9,850",0,0,0,2.0,1,5.0,10,10,26,99.92,0.0,0.0,0.0,False,5.0,349650.0,468000.0,1910.0,"1,989",0,,,3.79,3.44,1,1020070045,230.0,1000768.0,236921.0,40.8169536,-73.9403239,6a,,,,1,,,1023000.0,10230002001.0,1910-01-01,1989-01-01,
POINT (-73.7906666 40.7081199),QN,9802,41,460.0,3004.0,27.0,11432.0,103.0,2810.0,90-20 170 STREET,R6A,,,,,D1,3.0,0.0,O,NYC HOUSING AUTHORITY,"42,530","124,306","124,306",0,0,0,2.0,1,10.0,150,150,340,125,234.67,54.0,0.0,False,3.0,1435500.0,5555250.0,1983.0,0,0,,,2.92,3.0,4,4098020041,460.0,1042287.0,197333.0,40.7081199,-73.7906666,14d,,,,1,,,4046000.0,40460003004.0,1983-01-01,,
POINT (-73.9403805 40.8182876),MN,2009,8,230.0,5000.0,9.0,10030.0,32.0,1000.0,161 WEST 140 STREET,R7-2,,,,,D1,3.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"12,547","56,700","56,700",0,0,0,2.0,1,7.0,62,62,126.5,99.92,108.0,88.0,3.0,False,5.0,282150.0,2057400.0,1903.0,"1,988",0,,,4.52,3.44,1,1020090008,230.0,1000752.0,237407.0,40.8182876,-73.9403805,6a,,,,1,t,,1023000.0,10230005000.0,1903-01-01,1988-01-01,
POINT (-73.9427164 40.8202375),MN,2027,1,230.0,4000.0,9.0,10030.0,32.0,1000.0,2654 FREDRICK DOUGLASS BL,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"84,927","216,247","216,247",0,0,0,2.0,1,21.0,249,249,475,199.83,82.5,92.92,1.0,True,3.0,1912500.0,13616550.0,1963.0,0,0,,,2.55,3.44,1,1020270001,230.0,1000105.0,238117.0,40.8202375,-73.9427164,6a,,,,1,,,1023000.0,10230004000.0,1963-01-01,,
POINT (-73.9412175 40.8196247),MN,2027,25,230.0,4000.0,9.0,10030.0,32.0,1000.0,2430 ADAM C POWELL BLVD,R7-2,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"34,970","212,887","212,887",0,0,0,2.0,1,21.0,238,238,199,175,166.0,93.0,1.0,False,3.0,787500.0,13419900.0,1964.0,0,0,,,6.09,3.44,1,1020270025,230.0,1000520.0,237894.0,40.8196247,-73.9412175,6a,,,,1,,,1023000.0,10230004000.0,1964-01-01,,
POINT (-73.9407234 40.818683),MN,2009,63,230.0,5000.0,9.0,10030.0,32.0,1000.0,2409 ADAM C POWELL BLVD,R7-2,,,,,C4,2.0,0.0,O,NYC HOUSING AUTHORITY,"2,733","10,470","10,470",0,0,0,2.0,1,5.0,10,10,27.33,100,27.0,72.0,3.0,False,5.0,370800.0,496800.0,1910.0,"1,991",0,,,3.83,3.44,1,1020090063,230.0,1000657.0,237551.0,40.818683,-73.9407234,6a,,,,1,,,1023000.0,10230005000.0,1910-01-01,1991-01-01,
POINT (-73.9168838 40.678365),BK,1549,28,301.0,3000.0,41.0,11233.0,81.0,3600.0,2030 FULTON STREET,R7D,,,,,V1,11.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"25,550",0,,,,,7.0,0,,0,0,255.5,100,0.0,0.0,0.0,False,3.0,125550.0,125550.0,0.0,0,0,,,0.0,4.66,3,3015490028,301.0,1007304.0,186434.0,40.678365,-73.9168838,17a,,3015490023.0,09/17/2025,1,t,,3030100.0,30301003000.0,,,
POINT (-73.9772513 40.6872282),BK,2109,6,33.0,2010.0,35.0,11217.0,88.0,1200.0,628 FULTON STREET,R6B,,,,,Q1,9.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"1,177",0,,,,,7.0,0,,0,0,18.92,58.25,0.0,0.0,0.0,True,5.0,23409.0,23409.0,0.0,0,0,,,0.0,2.0,3,3021090006,33.0,990559.0,189653.0,40.6872282,-73.9772513,16c,,,,1,t,,3003300.0,30033002010.0,,,
POINT (-73.9772008 40.6871897),BK,2109,7,33.0,2010.0,35.0,11217.0,88.0,1200.0,630 FULTON STREET,R6B,,,,,Q1,9.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"1,502",0,,,,,7.0,0,,0,0,19.08,67.17,0.0,0.0,0.0,True,5.0,30546.0,30546.0,0.0,0,0,,,0.0,2.0,3,3021090007,33.0,990573.0,189639.0,40.6871897,-73.9772008,16c,,,,1,t,,3003300.0,30033002010.0,,,
POINT (-73.9771431 40.6871513),BK,2109,8,33.0,2010.0,35.0,11217.0,88.0,1200.0,632 FULTON STREET,R6B,,,,,Q1,9.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"1,379",0,,,,,7.0,0,,0,0,19.08,63.33,0.0,0.0,0.0,True,5.0,28179.0,28179.0,0.0,0,0,,,0.0,2.0,3,3021090008,33.0,990589.0,189625.0,40.6871513,-73.9771431,16c,,,,1,t,,3003300.0,30033002010.0,,,
POINT (-73.9421502 40.8107542),MN,1728,9,208.0,1001.0,9.0,10037.0,32.0,1300.0,61 WEST 130 STREET,R7-2,,,,,V1,11.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"1,998",0,,,,,7.0,0,,0,0,20,99.92,0.0,0.0,0.0,False,5.0,183150.0,183150.0,0.0,0,0,,,0.0,3.44,1,1017280009,208.0,1000264.0,234662.0,40.8107542,-73.9421502,6a,,,,1,t,,1020800.0,10208001001.0,,,
POINT (-73.9447978 40.811052),MN,1914,17,224.0,1000.0,9.0,10027.0,32.0,1200.0,131 WEST 129 STREET,R7-2,,,,,D9,3.0,0.0,C,NYC HOUSING PRESERVATION AND DEVELOPMENT,"7,494","27,339","24,639",0,0,"2,700",2.0,1,6.0,12,13,75,99.92,49.0,86.0,2.0,False,5.0,28350.0,1724400.0,1905.0,0,0,,,3.65,3.44,1,1019140017,224.0,999531.0,234770.0,40.811052,-73.9447978,6a,,,,1,t,,1022400.0,10224001000.0,1905-01-01,,
POINT (-73.9483738 40.8115147),MN,1933,1,224.0,4000.0,9.0,10027.0,32.0,1200.0,2406 8 AVENUE,R7-2,,,,,D7,4.0,0.0,O,NYC HOUSING AUTHORITY,"332,987","809,377","808,710",0,667,0,2.0,8,14.0,877,878,429.66,775,116.0,112.0,1.0,True,1.0,2074050.0,47093850.0,1953.0,"1,988",0,,,2.43,3.44,1,1019330001,224.0,998541.0,234938.0,40.8115147,-73.9483738,6a,,1019330001.0,11/30/2011,1,,,1022400.0,10224004000.0,1953-01-01,1988-01-01,
POINT (-73.9474625 40.8127961),MN,1933,50,224.0,3001.0,9.0,10027.0,32.0,1200.0,2410 8 AVENUE,R7-2,,,,,D1,3.0,0.0,X,NYC HOUSING AUTHORITY,"290,420","569,515","569,515",0,0,0,2.0,7,14.0,650,650,439.67,775,126.0,126.0,1.0,True,3.0,4183200.0,21653100.0,1951.0,0,0,,,1.96,3.44,1,1019330050,224.0,998793.0,235405.0,40.8127961,-73.9474625,6a,,1019330050.0,07/17/2013,1,,,1022400.0,10224003000.0,1951-01-01,,
POINT (-73.9047572 40.6671569),BK,3760,1,910.0,1000.0,41.0,11212.0,73.0,5900.0,373 MOTHER GASTON BLVD,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"337,075","497,397","497,397",0,0,0,2.0,9,14.0,628,628,485,695,100.0,200,1.0,False,3.0,3792150.0,23585850.0,1953.0,0,0,,,1.48,2.43,3,3037600001,910.0,1010672.0,182354.0,40.6671569,-73.9047572,17d,,,,1,,,3091000.0,30910001000.0,1953-01-01,,
