data_as_of,development,tds,consolidated_tds,hud_,program,method,type,number_of_section_8_transition_apartments,number_of_current_apartments,total_number_of_apartments,number_of_rental_rooms,population_public_housing,total_population,percent_fixed_income_households,number_of_residential_bldgs,number_of_stories,total_area_sq_ft,bldg_coverage_sq_ft,density,development_cost,avg_monthly_gross_rent,borough,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management,rad_transferred_date
1/1/2025,1010 EAST 178TH STREET,180,180,NY005090,FEDERAL,CONVENTIONAL,NEW CONST,0.0,218,220,918.0,391,391,0.49,1.0,21,"86,504.7","14,961",197.0,"$5,031,405",$513,BRONX,1971-03-31,,,,,2025-06-24
1/1/2025,104-14 TAPSCOTT STREET,242,167,NY005174,FEDERAL,TURNKEY,NEW CONST,,28,30,122.0,55,55,0.0022,1.0,4,"10,171.7","6,983",236.0,"$839,110",$604,BROOKLYN,1972-10-31,,,,,2023-11-28
1/1/2025,1162-1176 WASHINGTON AVENUE,233,308,NY005138,FEDERAL,TURNKEY,REHAB,0.0,64,66,290.0,128,128,0.3462,1.0,6,"19,088.3","12,231",292.0,"$2,205,187",$619,BRONX,1975-12-31,,,,,
1/1/2025,131 SAINT NICHOLAS AVENUE,154,097,NY005065,FEDERAL,CONVENTIONAL,NEW CONST,0.0,98,100,386.0,144,144,0.55,1.0,17,"30,232.0","5,759",207.0,"$1,880,013",$630,MANHATTAN,1965-03-31,,,,,
1/1/2025,1471 WATSON AVENUE,214,067,NY005162,FEDERAL,TURNKEY,NEW CONST,0.0,95,96,381.5,120,120,0.5395,1.0,6,"42,154.4","13,337",124.0,"$2,278,928",$549,BRONX,1970-12-31,,,,,
1/1/2025,154 WEST 84TH STREET,359,359,NY005270,FEDERAL,TURNKEY,NEW CONST,0.0,35,35,157.5,61,61,0.4286,1.0,7,"10,071.0","5,774",264.0,"$4,503,296",$726,MANHATTAN,1996-03-31,,,YES,YES,
1/1/2025,303 VERNON AVENUE,156,073,NY005068,FEDERAL,CONVENTIONAL,NEW CONST,0.0,234,234,"1,101.0",478,478,0.4306,1.0,24,"113,014.0","11,311",184.0,"$4,703,702",$632,BROOKLYN,1967-05-31,,,,,
1/1/2025,335 EAST 111TH STREET,203,064,NY005126,FEDERAL,TURNKEY,NEW CONST,,66,66,259.0,108,108,0.0056,1.0,6,"21,038.6","9,143",224.0,"$1,241,825",$427,MANHATTAN,1969-06-30,,,,,2020-11-30
1/1/2025,344 EAST 28TH STREET,185,153,NY005374,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,88.0,225,225,985.5,252,427,0.0053,1.0,26,"50,224.3","7,889",370.0,"$4,980,000",$555,MANHATTAN,1971-03-31,,,,,2020-11-30
1/1/2025,45 ALLEN STREET,265,100,NY005186,FEDERAL,TURNKEY,NEW CONST,0.0,106,107,530.0,207,207,0.4455,1.0,14,"40,886.6","8,031",221.0,"$4,290,021",$846,MANHATTAN,1974-07-31,,,,,
1/1/2025,572 WARREN STREET,196,163,NY005103,FEDERAL,TURNKEY,NEW CONST,,200,200,787.0,,382,,1.0,6,"82,610.4","28,530",201.0,"$5,984,598",$492,BROOKLYN,1972-08-31,,,,,2020-02-12
1/1/2025,830 AMSTERDAM AVENUE,150,082,NY005059,FEDERAL,CONVENTIONAL,NEW CONST,0.0,158,159,722.0,330,330,0.3885,1.0,20,"30,343.0","7,750",474.0,"$3,631,814",$675,MANHATTAN,1965-08-31,,,,,
1/1/2025,ADAMS,118,118,NY005049,FEDERAL,CONVENTIONAL,NEW CONST,0.0,919,925,"4,280.5","2,012","2,012",0.4477,7.0,15–21,"407,671.6","56,283",215.0,"$17,878,818",$608,BRONX,1964-08-31,,,,,
1/1/2025,ALBANY,031,031,NY005216C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,812,829,"3,735.0","1,645","1,645",0.4078,6.0,14,"388,541.9","58,455",184.0,"$8,951,000",$642,BROOKLYN,1950-10-14,1978-02-01,,,,
1/1/2025,ALBANY II,085,031,NY005216C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,396,400,"1,833.0",841,841,0.414,3.0,13–14,"215,274.8","26,053",170.0,"$4,666,000",$603,BROOKLYN,1957-02-07,1978-02-01,,,,
1/1/2025,AMSTERDAM,022,022,NY005220A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,084","1,084","5,129.0","2,055","2,055",0.432,13.0,6–13,"417,271.0","100,358",215.0,"$12,262,000",$653,MANHATTAN,1948-12-17,1978-07-01,,,,
1/1/2025,AMSTERDAM ADDITION,187,022,NY005366,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,26.0,174,175,759.0,265,313,0.5488,1.0,27,"37,855.0","17,562",360.0,"$7,053,000",$599,MANHATTAN,1974-01-31,,,,,
