development,tds_#,building_#,stairhall#,borough_nycha,house_#,street,address_nycha,city,state,zip_code,bin,block,lot,BBL,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude_nycha,longitude_nycha,geometry,borough_pluto,tax_block,tax_lot,census_tract_2010,cb2010,council_district,postcode,policeprct,healtharea,address_pluto,zonedist1,zonedist2,zonedist3,zonedist4,ltdheight,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,resarea,garagearea,strgearea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,proxcode,irrlotcode,lottype,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,borocode,bbl,tract2010,xcoord,ycoord,latitude_pluto,longitude_pluto,zonemap,zmcode,appbbl,appdate,plutomapid,dcpedited,notes,bct2020,bctcb2020,yearbuilt_dt,yearalter1_dt,yearalter2_dt,consumption_(kwh),current_charges,borough,consumption_per_unit
1162-1176 WASHINGTON AVENUE,233,1,3,BRONX,1162,WASHINGTON AVENUE,1162 WASHINGTON AVENUE,BRONX,NY,"10,456",2001312,2372,1,2023720001,145,BX0302,Claremont Village-Claremont (East),3,16,79,32,15,,40.829928,-73.907535,POINT (-73.907535 40.829928),BX,2372.0,1.0,145.0,4000.0,16.0,10456.0,42.0,2600.0,1162 WASHINGTON AVENUE,R7-1,,,,,D7,4.0,0.0,O,NYC HOUSING AUTHORITY,"19,024","70,817","64,317",0,0,"6,500",2.0,1.0,6.0,65.0,66,148.25,128.08,118.0,117.0,0.0,False,3.0,76950.0,1387350.0,1930.0,"1,992","1,997",,,3.72,3.44,2.0,2023720001.0,145.0,1009915.0,241671.0,40.8299692,-73.9072596,3d,,,,1.0,,,2014500.0,20145004000.0,1930-01-01,1992-01-01,1997-01-01,8712982.0,1298420.9,BRONX,134045.87692307692
1471 WATSON AVENUE,214,1,29,BRONX,1471,WATSON AVENUE,1471 WATSON AVENUE,BRONX,NY,"10,472",2023748,3737,1,2037370001,52,BX0901,Soundview-Bruckner-Bronx River,9,17,85,32,14,,40.82585,-73.880943,POINT (-73.880943 40.82585),BX,3737.0,1.0,52.0,2000.0,17.0,10472.0,43.0,3020.0,1471 WATSON AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"40,000","79,600","79,600",0,0,0,2.0,1.0,6.0,100.0,100,200,299,194.0,103.0,0.0,True,4.0,180000.0,2202750.0,1970.0,0,0,,,1.99,2.43,2.0,2037370001.0,52.0,1017161.0,240283.0,40.8261355,-73.881083,6c,,,,1.0,,,2005200.0,20052002000.0,1970-01-01,,,9580048.0,1451524.87,BRONX,95800.48
154 WEST 84TH STREET,359,1,47,MANHATTAN,154,WEST 84TH STREET,154 WEST 84TH STREET,NEW YORK,NY,"10,024",1084672,1214,55,1012140055,169,MN0702,Upper West Side (Central),7,6,69,47,12,YES,40.785976,-73.975263,POINT (-73.975263 40.785976),MN,1214.0,55.0,169.0,4000.0,6.0,10024.0,20.0,3500.0,154 WEST 84 STREET,R8B,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"9,622","25,488","25,488",0,0,0,2.0,1.0,6.0,35.0,35,94.4,102.2,94.4,45.0,0.0,False,5.0,783000.0,3216600.0,1994.0,0,0,,,2.65,4.0,1.0,1012140055.0,169.0,991078.0,225585.0,40.7858522,-73.9753434,5d,,1012140055.0,01/04/1995,1.0,,,1016900.0,10169004000.0,1994-01-01,,,2191151.0,276579.13,MANHATTAN,62604.31428571429
303 VERNON AVENUE,156,1,25,BROOKLYN,303,VERNON AVENUE,303 VERNON AVENUE,BROOKLYN,NY,"11,206",3042881,1585,1,3015850001,283,BK0302,Bedford-Stuyvesant (East),3,36,56,25,8,,40.695921,-73.939715,POINT (-73.939715 40.695921),BK,1585.0,1.0,283.0,1000.0,36.0,11206.0,79.0,1900.0,95 MARCUS GARVEY BLVD,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"110,000","225,324","225,324",0,0,0,2.0,1.0,24.0,234.0,234,200.0,550,45.0,165.0,0.0,False,3.0,344700.0,6576750.0,1951.0,0,0,,,2.05,2.43,3.0,3015850001.0,283.0,1001019.0,192894.0,40.6961103,-73.9395269,13b,,,,1.0,,,3028300.0,30283001000.0,1951-01-01,,,24744232.0,3477175.78,BROOKLYN,105744.5811965812
45 ALLEN STREET,265,1,3,MANHATTAN,45,ALLEN STREET,45 ALLEN STREET,NEW YORK,NY,"10,002",1075792,307,1,1003070001,16,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.716665,-73.992152,POINT (-73.992152 40.716665),MN,307.0,1.0,16.0,2000.0,1.0,10002.0,5.0,7400.0,45 ALLEN STREET,C6-1G,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"39,631","109,269","109,269",0,0,0,2.0,2.0,14.0,104.0,104,225.42,175.25,155.0,95.0,1.0,True,3.0,2677500.0,10043100.0,1973.0,0,0,,,2.76,3.44,1.0,1003070001.0,16.0,986393.0,200396.0,40.7167172,-73.9922694,12c,,,,1.0,,,1001600.0,10016002000.0,1973-01-01,,,13181295.0,2019179.11,MANHATTAN,126743.22115384616
830 AMSTERDAM AVENUE,150,1,29,MANHATTAN,830,AMSTERDAM AVENUE,830 AMSTERDAM AVENUE,NEW YORK,NY,"10,025",1056483,1872,29,1018720029,187,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,12,,40.797022,-73.968524,POINT (-73.968524 40.797022),MN,1872.0,29.0,187.0,5001.0,7.0,10025.0,24.0,3110.0,820 AMSTERDAM AVENUE,R8,R8B,,,,D9,3.0,0.0,O,NYC HOUSING AUTHORITY,"28,675","149,500","149,500",0,0,0,2.0,1.0,20.0,159.0,159,201.83,235,172.0,45.0,1.0,True,3.0,900000.0,9597150.0,1964.0,"1,966",0,,,5.21,6.02,1.0,1018720029.0,187.0,992908.0,229666.0,40.7970519,-73.9687298,5d,,,,1.0,,,1018700.0,10187005001.0,1964-01-01,1966-01-01,,19069795.0,2838279.17,MANHATTAN,119935.81761006289
ADAMS,118,1,1,BRONX,745,EAST 152ND STREET,745 EAST 152ND STREET,BRONX,NY,"10,455",2091979,2654,2,2026540002,79,BX0102,Melrose,1,8,84,29,14,,40.81601,-73.90705,POINT (-73.90705 40.81601),BX,2654.0,2.0,79.0,6000.0,8.0,10455.0,40.0,4100.0,720 WESTCHESTER AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"246,700","463,680","463,680",0,0,0,2.0,5.0,15.0,488.0,488,854.0,403,161.0,48.0,0.0,True,3.0,1665450.0,13053150.0,1963.0,0,0,,,1.88,2.43,2.0,2026540002.0,79.0,1010172.0,236816.0,40.8166428,-73.9063497,6c,,,,1.0,,,2007900.0,20079006000.0,1963-01-01,,,97995861.0,13845437.96,BRONX,200811.1905737705
ADAMS,118,2,2,BRONX,700,WESTCHESTER AVENUE,700 WESTCHESTER AVENUE,BRONX,NY,"10,455",2091976,2654,2,2026540002,79,BX0102,Melrose,1,8,84,29,14,,40.81663,-73.906656,POINT (-73.906656 40.81663),BX,2654.0,2.0,79.0,6000.0,8.0,10455.0,40.0,4100.0,720 WESTCHESTER AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"246,700","463,680","463,680",0,0,0,2.0,5.0,15.0,488.0,488,854.0,403,161.0,48.0,0.0,True,3.0,1665450.0,13053150.0,1963.0,0,0,,,1.88,2.43,2.0,2026540002.0,79.0,1010172.0,236816.0,40.8166428,-73.9063497,6c,,,,1.0,,,2007900.0,20079006000.0,1963-01-01,,,97995861.0,13845437.96,BRONX,200811.1905737705
ADAMS,118,3,3,BRONX,720,WESTCHESTER AVENUE,720 WESTCHESTER AVENUE,BRONX,NY,"10,455",2091977,2654,2,2026540002,79,BX0102,Melrose,1,8,84,29,14,,40.816905,-73.906212,POINT (-73.906212 40.816905),BX,2654.0,2.0,79.0,6000.0,8.0,10455.0,40.0,4100.0,720 WESTCHESTER AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"246,700","463,680","463,680",0,0,0,2.0,5.0,15.0,488.0,488,854.0,403,161.0,48.0,0.0,True,3.0,1665450.0,13053150.0,1963.0,0,0,,,1.88,2.43,2.0,2026540002.0,79.0,1010172.0,236816.0,40.8166428,-73.9063497,6c,,,,1.0,,,2007900.0,20079006000.0,1963-01-01,,,97995861.0,13845437.96,BRONX,200811.1905737705
ADAMS,118,4,4,BRONX,721,TINTON AVENUE,721 TINTON AVENUE,BRONX,NY,"10,455",2091978,2654,2,2026540002,79,BX0102,Melrose,1,8,84,29,14,,40.817128,-73.9053,POINT (-73.9053 40.817128),BX,2654.0,2.0,79.0,6000.0,8.0,10455.0,40.0,4100.0,720 WESTCHESTER AVENUE,R6,,,,,D3,3.0,0.0,O,NYC HOUSING AUTHORITY,"246,700","463,680","463,680",0,0,0,2.0,5.0,15.0,488.0,488,854.0,403,161.0,48.0,0.0,True,3.0,1665450.0,13053150.0,1963.0,0,0,,,1.88,2.43,2.0,2026540002.0,79.0,1010172.0,236816.0,40.8166428,-73.9063497,6c,,,,1.0,,,2007900.0,20079006000.0,1963-01-01,,,97995861.0,13845437.96,BRONX,200811.1905737705
