development,tds_#,building_#,stairhall#,borough,house_#,street,address,city,state,zip_code,bin,block,lot,borough/block/lot_#,census_tract_(2020),neighborhood_tabulation_area_code,neighborhood_tabulation_area_name,community_district,city_council_district,state_assembly_district,state_senate_district,us_congressional_district,privately_managed,latitude,longitude,geometry
1162-1176 WASHINGTON AVENUE,233,1,3,BRONX,1162,WASHINGTON AVENUE,1162 WASHINGTON AVENUE,BRONX,NY,"10,456",2001312,2372,1,2023720001,145,BX0302,Claremont Village-Claremont (East),3,16,79,32,15,,40.829928,-73.907535,POINT (-73.907535 40.829928)
1471 WATSON AVENUE,214,1,29,BRONX,1471,WATSON AVENUE,1471 WATSON AVENUE,BRONX,NY,"10,472",2023748,3737,1,2037370001,52,BX0901,Soundview-Bruckner-Bronx River,9,17,85,32,14,,40.82585,-73.880943,POINT (-73.880943 40.82585)
154 WEST 84TH STREET,359,1,47,MANHATTAN,154,WEST 84TH STREET,154 WEST 84TH STREET,NEW YORK,NY,"10,024",1084672,1214,55,1012140055,169,MN0702,Upper West Side (Central),7,6,69,47,12,YES,40.785976,-73.975263,POINT (-73.975263 40.785976)
303 VERNON AVENUE,156,1,25,BROOKLYN,303,VERNON AVENUE,303 VERNON AVENUE,BROOKLYN,NY,"11,206",3042881,1585,1,3015850001,283,BK0302,Bedford-Stuyvesant (East),3,36,56,25,8,,40.695921,-73.939715,POINT (-73.939715 40.695921)
45 ALLEN STREET,265,1,3,MANHATTAN,45,ALLEN STREET,45 ALLEN STREET,NEW YORK,NY,"10,002",1075792,307,1,1003070001,16,MN0301,Chinatown-Two Bridges,3,1,65,27,10,,40.716665,-73.992152,POINT (-73.992152 40.716665)
830 AMSTERDAM AVENUE,150,1,29,MANHATTAN,830,AMSTERDAM AVENUE,830 AMSTERDAM AVENUE,NEW YORK,NY,"10,025",1056483,1872,29,1018720029,187,MN0703,Upper West Side-Manhattan Valley,7,7,69,30,12,,40.797022,-73.968524,POINT (-73.968524 40.797022)
ADAMS,118,1,1,BRONX,745,EAST 152ND STREET,745 EAST 152ND STREET,BRONX,NY,"10,455",2091979,2654,2,2026540002,79,BX0102,Melrose,1,8,84,29,14,,40.81601,-73.90705,POINT (-73.90705 40.81601)
ADAMS,118,2,2,BRONX,700,WESTCHESTER AVENUE,700 WESTCHESTER AVENUE,BRONX,NY,"10,455",2091976,2654,2,2026540002,79,BX0102,Melrose,1,8,84,29,14,,40.81663,-73.906656,POINT (-73.906656 40.81663)
ADAMS,118,3,3,BRONX,720,WESTCHESTER AVENUE,720 WESTCHESTER AVENUE,BRONX,NY,"10,455",2091977,2654,2,2026540002,79,BX0102,Melrose,1,8,84,29,14,,40.816905,-73.906212,POINT (-73.906212 40.816905)
ADAMS,118,4,4,BRONX,721,TINTON AVENUE,721 TINTON AVENUE,BRONX,NY,"10,455",2091978,2654,2,2026540002,79,BX0102,Melrose,1,8,84,29,14,,40.817128,-73.9053,POINT (-73.9053 40.817128)
ADAMS,118,5,5,BRONX,710,TINTON AVENUE,710 TINTON AVENUE,BRONX,NY,"10,455",2091988,2665,1,2026650001,79,BX0102,Melrose,1,8,84,29,14,,40.816648,-73.904482,POINT (-73.904482 40.816648)
ADAMS,118,6,6,BRONX,680,TINTON AVENUE,680 TINTON AVENUE,BRONX,NY,"10,455",2091987,2665,1,2026650001,79,BX0102,Melrose,1,8,84,29,14,,40.816104,-73.904616,POINT (-73.904616 40.816104)
ADAMS,118,7,7,BRONX,815,EAST 152ND STREET,815 EAST 152ND STREET,BRONX,NY,"10,455",2091989,2665,1,2026650001,79,BX0102,Melrose,1,8,84,29,14,,40.815565,-73.904754,POINT (-73.904754 40.815565)
ALBANY,31,1,1,BROOKLYN,180,TROY AVENUE,180 TROY AVENUE,BROOKLYN,NY,"11,213",3324615,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.673285,-73.936607,POINT (-73.936607 40.673285)
ALBANY,31,2,2,BROOKLYN,1191,PARK PLACE,1191 PARK PLACE,BROOKLYN,NY,"11,213",3324614,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.672915,-73.937683,POINT (-73.937683 40.672915)
ALBANY,31,3,3,BROOKLYN,205,ALBANY AVENUE,205 ALBANY AVENUE,BROOKLYN,NY,"11,213",3324613,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.67339,-73.938688,POINT (-73.938688 40.67339)
ALBANY,31,4,4,BROOKLYN,193,ALBANY AVENUE,193 ALBANY AVENUE,BROOKLYN,NY,"11,213",3324612,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.673982,-73.938632,POINT (-73.938632 40.673982)
ALBANY,31,5,5,BROOKLYN,1008,SAINT MARKS AVENUE,1008 SAINT MARKS AVENUE,BROOKLYN,NY,"11,213",3324616,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.674347,-73.93755,POINT (-73.93755 40.674347)
ALBANY,31,6,6,BROOKLYN,162,TROY AVENUE,162 TROY AVENUE,BROOKLYN,NY,"11,213",3324617,1352,80,3013520080,343,BK0802,Crown Heights (North),8,36,43,20,9,,40.673868,-73.936546,POINT (-73.936546 40.673868)
ALBANY II,85,7,7,BROOKLYN,1400,BERGEN STREET,1400 BERGEN STREET,BROOKLYN,NY,"11,213",3324611,1352,1,3013520001,343,BK0802,Crown Heights (North),8,36,56,20,9,,40.675096,-73.938151,POINT (-73.938151 40.675096)
ALBANY II,85,8,8,BROOKLYN,1414,BERGEN STREET,1414 BERGEN STREET,BROOKLYN,NY,"11,213",3324609,1352,1,3013520001,343,BK0802,Crown Heights (North),8,36,56,20,9,,40.675019,-73.937494,POINT (-73.937494 40.675019)
ALBANY II,85,9,9,BROOKLYN,1430,BERGEN STREET,1430 BERGEN STREET,BROOKLYN,NY,"11,213",3324610,1352,1,3013520001,343,BK0802,Crown Heights (North),8,36,56,20,9,,40.675023,-73.936826,POINT (-73.936826 40.675023)
AMSTERDAM,22,1,1,MANHATTAN,40,AMSTERDAM AVENUE,40 AMSTERDAM AVENUE,NEW YORK,NY,"10,023",1081771,1154,101,1011540101,"15,101",MN0701,Upper West Side-Lincoln Square,7,6,67,47,12,,40.771974,-73.986896,POINT (-73.986896 40.771974)
